video_id,day_of_week,hour
g7UCovQwYOc,Friday,11
Ux6wRyjs6Bc,Thursday,11
XgbUZCKZyQ4,Tuesday,0
op6llllyWys,Thursday,0
L4sI_VesWJM,Wednesday,3
onlUuDWe1YE,Friday,1
0jvWWiIsrb8,Thursday,0
uGtiZO_UK70,Monday,20
K7qr_Xp3yq4,Monday,1
UqOLVkRV46Y,Sunday,1
rYn458667wY,Saturday,0
iziXufVC6j4,Wednesday,14
fP9esRtWMwM,Tuesday,15
E5eCAO2LKz8,Monday,15
yeZ7Zv9X0AE,Sunday,13
jHsCsHTM2oc,Saturday,0
VW2auXlAgjY,Thursday,13
2Zh8P3MFRv0,Wednesday,15
b-JZ_OlVhEg,Tuesday,9
strjSRoRhOE,Saturday,8
9F0kYj4F85k,Friday,9
Pr0RboyeVXI,Thursday,12
vGCmWZQGuEM,Thursday,11
zww51ZP97WM,Tuesday,12
SIyQ6KaIm-Q,Tuesday,12
Jj8QysGUZtU,Sunday,15
-ONFq_U9QUA,Sunday,13
sYk_K7wc1Tc,Saturday,6
79FV6yoWK5Q,Friday,16
hRrOhUdNgYU,Friday,13
waVJLC5PSkY,Friday,12
7hOp8rRMr0w,Thursday,13
_DHCAyP6FVo,Thursday,9
Q882oyv-25U,Thursday,7
UXXeKnMxcP0,Wednesday,8
6FsetawuCwg,Wednesday,7
4ln5BhTfTc4,Wednesday,7
IIDstbXwvPQ,Tuesday,10
AYcxxs6awUY,Monday,12
kCGUvpN6usw,Monday,10
p5i71wThdJg,Sunday,12
bBvlfyJDROY,Sunday,10
dT7Ax0Vy6RQ,Saturday,14
I4yJYHGkF8A,Saturday,9
rG2cvsQIeEk,Saturday,8
BYYS4Vzwdrk,Friday,10
DtQSpvIf0e8,Friday,6
LmkU2s4Z65M,Thursday,7
XPdu3jUrTII,Wednesday,14
tHk3FvRb9bs,Tuesday,14
-KU2NzDG2RM,Tuesday,9
Igby-NZCWLo,Monday,12
fdSnLKV42zo,Monday,6
ZDw3DHxy_QI,Monday,5
UwA2p13Ajls,Wednesday,11
